ID,Film,Year,Award,Nomination
1,Guillermo del Toro's Pinocchio,2022,1,1
2,The Elephant Whisperers,2022,1,1
3,An Irish Goodbye,2022,1,1
4,"The Boy, the Mole, the Fox and the Horse",2022,1,1
5,RRR,2022,1,1
6,CODA,2021,3,3
7,Dune,2021,6,10
8,The Eyes of Tammy Faye,2021,2,2
9,No Time to Die,2021,1,3
10,The Windshield Wiper,2021,1,1
11,The Long Goodbye,2021,1,1
12,The Queen of Basketball,2021,1,1
13,Summer of Soul,2021,1,1
14,Drive My Car,2021,1,4
15,Encanto,2021,1,3
16,West Side Story,2021,1,7
17,Belfast,2021,1,7
18,The Power of the Dog,2021,1,12
19,King Richard,2021,1,6
20,Cruella,2021,1,2
21,Nomadland,21,3,6
22,The Father,21,2,6
23,Judas and the Black Messiah,21,2,6
24,Minari,21,1,6
25,Mank,21,2,10
26,Sound of Metal,21,2,6
27,Ma Rainey's Black Bottom,21,2,5
28,Promising Young Woman,21,1,5
29,Tenet,21,1,2
30,Soul,21,2,3
31,Another Round,21,1,2
32,My Octopus Teacher,21,1,1
33,Colette,21,1,1
34,If Anything Happens I Love You,21,1,1
35,Two Distant Strangers,21,1,1
36,Parasite,2019,4,6
37,Ford v Ferrari,2019,2,4
38,Learning to Skateboard in a Warzone (If You're a Girl),2019,1,1
39,The Neighbors' Window,2019,1,1
40,Little Women,2019,1,6
41,Marriage Story,2019,1,6
42,Jojo Rabbit,2019,1,6
43,Toy Story 4,2019,1,2
44,Joker,2019,2,11
45,Once Upon a Time in Hollywood,2019,2,10
46,1917,2019,3,10
47,Judy,2019,1,2
48,Bombshell,2019,1,3
49,Rocketman,2019,1,1
50,American Factory,2019,1,1
51,Hair Love,2019,1,1
52,Green Book,2018,3,5
53,Bohemian Rhapsody,2018,4,5
54,Roma,2018,3,10
55,Black Panther,2018,3,7
56,The Favourite,2018,1,10
57,A Star Is Born,2018,1,8
58,Vice,2018,1,8
59,BlacKkKlansman,2018,1,6
60,First Man,2018,1,4
61,If Beale Street Could Talk,2018,1,3
62,Bao,2018,1,1
63,Free Solo,2018,1,1
64,Period. End of Sentence.,2018,1,1
65,Skin,2018,1,1
66,Spider-Man: Into the Spider-Verse,2018,1,1
67,The Shape of Water,2017,4,13
68,Dunkirk,2017,3,8
69,"Three Billboards Outside Ebbing, Missouri",2017,2,7
70,Darkest Hour,2017,2,6
71,Blade Runner 2049,2017,2,5
72,Coco,2017,2,2
73,Phantom Thread,2017,1,6
74,Call Me by Your Name,2017,1,4
75,Get Out,2017,1,4
76,"I, Tonya",2017,1,3
77,Dear Basketball,2017,1,1
78,A Fantastic Woman,2017,1,1
79,Heaven Is a Traffic Jam on the 405,2017,1,1
80,Icarus,2017,1,1
81,The Silent Child,2017,1,1
82,Flesh and Sand,2017,1,0
83,Moonlight,2016,3,8
84,La La Land,2016,6,14
